,dates,dateS2str,dateS1str
0,2018-01-15,20180115-103454,20180901t173104
1,2018-01-20,20180120-103737,20180901t173104
2,2018-01-25,20180125-103442,20180901t173104
3,2018-01-30,20180130-103517,20180901t173104
4,2018-02-04,20180204-103532,20180901t173104
5,2018-02-09,20180209-103152,20180901t173104
6,2018-02-14,20180214-103125,20180901t173104
7,2018-02-19,20180219-103542,20180901t173104
8,2018-02-24,20180224-103018,20180901t173104
9,2018-03-01,20180301-103704,20180901t173104
10,2018-03-06,20180306-103221,20180901t173104
11,2018-03-11,20180311-103013,20180901t173104
12,2018-03-16,20180316-103807,20180901t173104
13,2018-03-21,20180321-103345,20180901t173104
14,2018-03-26,20180326-103020,20180901t173104
15,2018-03-31,20180331-103300,20180901t173104
16,2018-04-05,20180405-103717,20180901t173104
17,2018-04-10,20180410-103019,20180901t173104
18,2018-04-15,20180415-103544,20180901t173104
19,2018-04-20,20180420-103302,20180901t173104
20,2018-04-25,20180425-103643,20180901t173104
21,2018-04-30,20180430-103520,20180901t173104
22,2018-05-05,20180505-103125,20180901t173104
23,2018-05-10,20180510-103400,20180901t173104
24,2018-05-15,20180515-103024,20180901t173104
25,2018-05-20,20180520-103458,20180901t173104
26,2018-05-25,20180525-103024,20180901t173104
27,2018-05-30,20180530-103745,20180901t173104
28,2018-06-04,20180604-103550,20180901t173104
29,2018-06-09,20180609-103214,20180901t173104
30,2018-06-14,20180614-103021,20180901t173104
31,2018-06-19,20180619-103559,20180901t173104
32,2018-06-24,20180624-103503,20180901t173104
33,2018-06-29,20180629-103021,20180901t173104
34,2018-07-04,20180704-103023,20180901t173104
35,2018-07-09,20180709-103418,20180901t173104
36,2018-07-14,20180714-103023,20180901t173104
37,2018-07-19,20180719-103020,20180901t173104
38,2018-07-24,20180724-103551,20180901t173104
39,2018-07-29,20180729-103815,20180901t173104
40,2018-08-03,20180803-103239,20180901t173104
41,2018-08-08,20180808-103448,20180901t173104
42,2018-08-13,20180813-103021,20180901t173104
43,2018-08-18,20180818-103724,20180901t173104
44,2018-08-23,20180823-103535,20180901t173104
45,2018-08-28,20180828-103013,20180901t173104
46,2018-09-02,20180902-103726,20180901t173104
47,2018-09-07,20180907-103737,20180907t173038
48,2018-09-12,20180912-103308,20180912t054341
49,2018-09-17,20180917-103154,20180918t054316
50,2018-09-22,20180922-103017,20180924t054342
51,2018-09-27,20180927-103016,20180925t173105
52,2018-10-02,20181002-103821,20181001t173039
53,2018-10-07,20181007-103144,20181007t173105
54,2018-10-12,20181012-103703,20181012t054317
55,2018-10-17,20181017-103202,20181018t054342
56,2018-10-22,20181022-103053,20181024t054317
57,2018-10-27,20181027-103123,20181025t173039
58,2018-11-01,20181101-103152,20181031t173105
59,2018-11-06,20181106-103833,20181106t173039
60,2018-11-11,20181111-103831,20181111t054342
61,2018-11-16,20181116-103833,20181117t054317
62,2018-11-21,20181121-103829,20181123t054342
63,2018-11-26,20181126-103832,20181124t173104
64,2018-12-01,20181201-103827,20181130t173038
65,2018-12-06,20181206-103830,20181206t173104
66,2018-12-11,20181211-103827,20181211t054316
67,2018-12-16,20181216-103830,20181217t054341
68,2018-12-21,20181221-103827,20181223t054315
69,2018-12-26,20181226-103832,20181224t173038
70,2018-12-31,20181231-103830,20181230t173103
71,2019-01-05,20190105-103834,20190105t173037
72,2019-01-10,20190110-103831,20190110t054340
73,2019-01-15,20190115-103835,20190116t054315
74,2019-01-20,20190120-103832,20190122t054340
75,2019-01-25,20190125-103836,20190123t173102
76,2019-01-30,20190130-103833,20190129t173036
77,2019-02-04,20190204-103836,20190204t173102
78,2019-02-09,20190209-103833,20190209t054314
79,2019-02-14,20190214-103836,20190216t173102
80,2019-02-19,20190219-103827,20190221t054314
81,2019-02-24,20190224-103835,20190227t054339
82,2019-03-01,20190301-103831,20190228t173102
83,2019-03-06,20190306-103833,20190311t054339
84,2019-03-11,20190311-103831,20190311t054339
85,2019-03-16,20190316-103834,20190317t054314
86,2019-03-21,20190321-103834,20190323t054339
87,2019-03-26,20190326-103837,20190324t173102
88,2019-03-31,20190331-103836,20190329t054314
89,2019-04-05,20190405-103839,20190405t173102
90,2019-04-10,20190410-103838,20190410t054314
91,2019-04-15,20190415-103841,20190416t054340
92,2019-04-20,20190420-103839,20190422t054315
93,2019-04-25,20190425-103843,20190423t173037
94,2019-04-30,20190430-103840,20190429t173103
95,2019-05-05,20190505-103844,20190505t173038
96,2019-05-10,20190510-103840,20190510t054340
97,2019-05-15,20190515-103844,20190516t054316
98,2019-05-20,20190520-103839,20190522t054341
99,2019-05-25,20190525-103844,20190523t173104
100,2019-05-30,20190530-103839,20190528t054316
101,2019-06-04,20190604-103844,20190604t173105
102,2019-06-09,20190609-103838,20190609t054317
103,2019-06-14,20190614-103843,20190615t054342
104,2019-06-19,20190619-103840,20190621t054318
105,2019-06-24,20190624-103844,20190622t173040
106,2019-06-29,20190629-103840,20190628t173106
107,2019-07-04,20190704-103845,20190704t173041
108,2019-07-09,20190709-103841,20190709t054344
109,2019-07-14,20190714-103845,20190715t054319
110,2019-07-19,20190719-103841,20190721t054345
111,2019-07-24,20190724-103844,20190722t173108
112,2019-07-29,20190729-103841,20190728t173042
113,2019-08-03,20190803-103844,20190803t173108
114,2019-08-08,20190808-103840,20190808t054321
115,2019-08-13,20190813-103842,20190814t054346
116,2019-08-18,20190818-103839,20190820t054321
117,2019-08-23,20190823-103841,20190821t173044
118,2019-08-28,20190828-103837,20190827t173110
119,2019-09-02,20190902-103839,20190902t173044
120,2019-09-07,20190907-103835,20190907t054347
121,2019-09-12,20190912-103837,20190913t054323
122,2019-09-17,20190917-103835,20190919t054348
123,2019-09-22,20190922-103835,20190920t173111
124,2019-09-27,20190927-103837,20190926t173046
125,2019-10-02,20191002-103836,20191002t173111
126,2019-10-07,20191007-103838,20191007t054323
127,2019-10-12,20191012-103837,20191013t054348
128,2019-10-17,20191017-103839,20191019t054323
129,2019-10-22,20191022-103837,20191020t173046
130,2019-10-27,20191027-103843,20191026t173111
131,2019-11-01,20191101-103836,20191031t054323
132,2019-11-06,20191106-103839,20191031t054323
133,2019-11-11,20191111-103835,20191031t054323
134,2019-11-16,20191116-103838,20191031t054323
135,2019-11-21,20191121-103833,20191031t054323
136,2019-11-26,20191126-103836,20191031t054323
137,2019-12-01,20191201-103831,20191031t054323
138,2019-12-06,20191206-103833,20191031t054323
139,2019-12-11,20191211-103830,20191031t054323
140,2019-12-16,20191216-103830,20191031t054323
141,2019-12-21,20191221-103831,20191031t054323
142,2019-12-26,20191226-103830,20191031t054323
143,2019-12-31,20191231-103831,20191031t054323
